date,day,age_group,test_group,PSI,death,survival_rate_under_psi,survival_rate_under_psi_24h,,
17-Sep-22,1,young,A,5,0,100,100,,
18-Sep-22,2,young,A,5,0,100,100,,
19-Sep-22,3,young,A,5,0,100,100,,
20-Sep-22,4,young,A,5,0,100,100,,
21-Sep-22,5,young,A,5,0,100,100,,
22-Sep-22,6,young,A,5,0,100,100,,
23-Sep-22,7,young,A,5,0,100,100,,
24-Sep-22,8,young,A,5,2,86.66666667,86.66666667,,
25-Sep-22,9,young,A,5,2,80,86.7,,
26-Sep-22,10,young,A,5,2,80,86.7,,
27-Sep-22,11,young,A,5,2,80,86.7,,
28-Sep-22,12,young,A,5,4,60,61.7,,
29-Sep-22,13,young,A,5,5,50,49.2,,
30-Sep-22,14,young,A,5,5,50,49.2,,
1-Oct-22,15,young,A,5,5,50,49.2,,
2-Oct-22,16,young,A,5,6,40,36.7,,
3-Oct-22,17,young,A,5,6,40,36.7,,
4-Oct-22,18,young,A,5,6,40,36.7,,
5-Oct-22,19,young,A,5,6,40,36.7,,
6-Oct-22,20,young,A,5,6,40,36.7,,
7-Oct-22,21,young,A,5,6,40,36.7,,
8-Oct-22,22,young,A,5,7,30,24.2,,
9-Oct-22,23,young,A,5,8,20,11.7,,
10-Oct-22,24,young,A,5,8,20,11.7,,
11-Oct-22,25,young,A,5,8,20,11.7,,
12-Oct-22,26,young,A,5,8,20,11.7,,
13-Oct-22,27,young,A,5,8,20,11.7,,
14-Oct-22,28,young,A,5,8,20,11.7,,
17-Sep-22,1,young,B,10,5,66.66666667,100,,
18-Sep-22,2,young,B,10,5,66.66666667,100,,
19-Sep-22,3,young,B,10,5,66.66666667,100,,
20-Sep-22,4,young,B,10,5,66.66666667,100,,
21-Sep-22,5,young,B,10,5,66.66666667,100,,
22-Sep-22,6,young,B,10,5,66.66666667,100,,
23-Sep-22,7,young,B,10,6,60,90,,
24-Sep-22,8,young,B,10,6,60,90,,
25-Sep-22,9,young,B,10,5,50,90,,
26-Sep-22,10,young,B,10,5,50,90,,
27-Sep-22,11,young,B,10,5,50,90,,
28-Sep-22,12,young,B,10,5,50,90,,
29-Sep-22,13,young,B,10,5,50,90,,
30-Sep-22,14,young,B,10,6,40,70,,
1-Oct-22,15,young,B,10,6,40,70,,
2-Oct-22,16,young,B,10,7,30,50,,
3-Oct-22,17,young,B,10,7,30,50,,
4-Oct-22,18,young,B,10,7,30,50,,
5-Oct-22,19,young,B,10,7,30,50,,
6-Oct-22,20,young,B,10,7,30,50,,
7-Oct-22,21,young,B,10,7,30,50,,
8-Oct-22,22,young,B,10,7,30,50,,
9-Oct-22,23,young,B,10,7,30,50,,
10-Oct-22,24,young,B,10,8,20,30,,
11-Oct-22,25,young,B,10,9,10,10,,
12-Oct-22,26,young,B,10,9,10,10,,
13-Oct-22,27,young,B,10,10,0,0,,
14-Oct-22,28,young,B,10,10,0,0,,
17-Sep-22,1,young,C,15,1,93.33333333,100,,
18-Sep-22,2,young,C,15,3,80,85.71428571,,
19-Sep-22,3,young,C,15,3,80,85.71428571,,
20-Sep-22,4,young,C,15,4,73.33333333,78.57142857,,
21-Sep-22,5,young,C,15,4,73.33333333,78.57142857,,
22-Sep-22,6,young,C,15,4,73.33333333,78.57142857,,
23-Sep-22,7,young,C,15,4,73.33333333,78.57142857,,
24-Sep-22,8,young,C,15,4,73.33333333,78.57142857,,
25-Sep-22,9,young,C,15,4,73.33333333,78.57142857,,
26-Sep-22,10,young,C,15,5,66.66666667,71.42857143,,
27-Sep-22,11,young,C,15,5,66.66666667,71.42857143,,
28-Sep-22,12,young,C,15,6,60,64.28571429,,
29-Sep-22,13,young,C,15,7,53.33333333,57.14285714,,
30-Sep-22,14,young,C,15,8,46.66666667,50,,
1-Oct-22,15,young,C,15,8,46.66666667,50,,
2-Oct-22,16,young,C,15,9,40,42.85714286,,
3-Oct-22,17,young,C,15,9,40,42.85714286,,
4-Oct-22,18,young,C,15,9,40,42.85714286,,
5-Oct-22,19,young,C,15,9,40,42.85714286,,
6-Oct-22,20,young,C,15,10,33.33333333,35.71428571,,
7-Oct-22,21,young,C,15,11,26.66666667,28.57142857,,
8-Oct-22,22,young,C,15,12,20,21.42857143,,
9-Oct-22,23,young,C,15,12,20,21.42857143,,
10-Oct-22,24,young,C,15,12,20,21.42857143,,
11-Oct-22,25,young,C,15,15,0,0,,
12-Oct-22,26,young,C,15,15,0,0,,
13-Oct-22,27,young,C,15,15,0,0,,
14-Oct-22,28,young,C,15,15,0,0,,
17-Sep-22,1,young,D,20,4,73.33333333,100,,
18-Sep-22,2,young,D,20,4,73.33333333,100,,
19-Sep-22,3,young,D,20,4,73.33333333,100,,
20-Sep-22,4,young,D,20,4,73.33333333,100,,
21-Sep-22,5,young,D,20,5,66.66666667,90.90909091,,
22-Sep-22,6,young,D,20,5,66.66666667,90.90909091,,
23-Sep-22,7,young,D,20,5,66.66666667,90.90909091,,
24-Sep-22,8,young,D,20,5,66.66666667,90.90909091,,
25-Sep-22,9,young,D,20,5,66.66666667,90.90909091,,
26-Sep-22,10,young,D,20,5,66.66666667,90.90909091,,
27-Sep-22,11,young,D,20,5,66.66666667,90.90909091,,
28-Sep-22,12,young,D,20,7,53.33333333,72.72727273,,
29-Sep-22,13,young,D,20,7,53.33333333,72.72727273,,
30-Sep-22,14,young,D,20,8,46.66666667,63.63636364,,
1-Oct-22,15,young,D,20,8,46.66666667,63.63636364,,
2-Oct-22,16,young,D,20,8,46.66666667,63.63636364,,
3-Oct-22,17,young,D,20,8,46.66666667,63.63636364,,
4-Oct-22,18,young,D,20,9,40,54.54545455,,
5-Oct-22,19,young,D,20,10,33.33333333,45.45454545,,
6-Oct-22,20,young,D,20,11,26.66666667,36.36363636,,
7-Oct-22,21,young,D,20,11,26.66666667,36.36363636,,
8-Oct-22,22,young,D,20,11,26.66666667,36.36363636,,
9-Oct-22,23,young,D,20,11,26.66666667,36.36363636,,
