date,day,age_group,test_group,PSI,death,survival_rate_under_psi,survival_rate_under_psi_24h
17-Sep-22,1,young,A1,5,0,100,100
18-Sep-22,2,young,A1,5,0,100,100
19-Sep-22,3,young,A1,5,0,100,100
20-Sep-22,4,young,A1,5,0,100,100
21-Sep-22,5,young,A1,5,0,100,100
22-Sep-22,6,young,A1,5,0,100,100
23-Sep-22,7,young,A1,5,0,100,100
24-Sep-22,8,young,A1,5,0,86.66666667,86.66666667
25-Sep-22,9,young,A1,5,NA,80,86.7
26-Sep-22,10,young,A1,5,NA,80,86.7
27-Sep-22,11,young,A1,5,NA,80,86.7
28-Sep-22,12,young,A1,5,NA,60,61.7
29-Sep-22,13,young,A1,5,NA,50,49.2
30-Sep-22,14,young,A1,5,NA,50,49.2
1-Oct-22,15,young,A1,5,NA,50,49.2
2-Oct-22,16,young,A1,5,NA,40,36.7
3-Oct-22,17,young,A1,5,NA,40,36.7
4-Oct-22,18,young,A1,5,NA,40,36.7
5-Oct-22,19,young,A1,5,NA,40,36.7
6-Oct-22,20,young,A1,5,NA,40,36.7
7-Oct-22,21,young,A1,5,NA,40,36.7
8-Oct-22,22,young,A1,5,NA,30,24.2
9-Oct-22,23,young,A1,5,NA,20,11.7
10-Oct-22,24,young,A1,5,NA,20,11.7
11-Oct-22,25,young,A1,5,NA,20,11.7
12-Oct-22,26,young,A1,5,NA,20,11.7
13-Oct-22,27,young,A1,5,NA,20,11.7
14-Oct-22,28,young,A1,5,NA,20,11.7
17-Sep-22,1,young,A2,5,0,100,100
18-Sep-22,2,young,A2,5,0,100,100
19-Sep-22,3,young,A2,5,0,100,100
20-Sep-22,4,young,A2,5,0,100,100
21-Sep-22,5,young,A2,5,0,100,100
22-Sep-22,6,young,A2,5,0,100,100
23-Sep-22,7,young,A2,5,0,100,100
24-Sep-22,8,young,A2,5,1,86.66666667,86.66666667
25-Sep-22,9,young,A2,5,1,80,86.7
26-Sep-22,10,young,A2,5,1,80,86.7
27-Sep-22,11,young,A2,5,1,80,86.7
28-Sep-22,12,young,A2,5,1,60,61.7
29-Sep-22,13,young,A2,5,1,50,49.2
30-Sep-22,14,young,A2,5,1,50,49.2
1-Oct-22,15,young,A2,5,1,50,49.2
2-Oct-22,16,young,A2,5,1,40,36.7
3-Oct-22,17,young,A2,5,1,40,36.7
4-Oct-22,18,young,A2,5,1,40,36.7
5-Oct-22,19,young,A2,5,1,40,36.7
6-Oct-22,20,young,A2,5,1,40,36.7
7-Oct-22,21,young,A2,5,1,40,36.7
8-Oct-22,22,young,A2,5,2,30,24.2
9-Oct-22,23,young,A2,5,3,20,11.7
10-Oct-22,24,young,A2,5,3,20,11.7
11-Oct-22,25,young,A2,5,3,20,11.7
12-Oct-22,26,young,A2,5,3,20,11.7
13-Oct-22,27,young,A2,5,3,20,11.7
14-Oct-22,28,young,A2,5,3,20,11.7
17-Sep-22,1,young,A3,5,0,100,100
18-Sep-22,2,young,A3,5,0,100,100
19-Sep-22,3,young,A3,5,0,100,100
20-Sep-22,4,young,A3,5,0,100,100
21-Sep-22,5,young,A3,5,0,100,100
22-Sep-22,6,young,A3,5,0,100,100
23-Sep-22,7,young,A3,5,0,100,100
24-Sep-22,8,young,A3,5,1,86.66666667,86.66666667
25-Sep-22,9,young,A3,5,1,80,86.7
26-Sep-22,10,young,A3,5,1,80,86.7
27-Sep-22,11,young,A3,5,1,80,86.7
28-Sep-22,12,young,A3,5,3,60,61.7
29-Sep-22,13,young,A3,5,4,50,49.2
30-Sep-22,14,young,A3,5,4,50,49.2
1-Oct-22,15,young,A3,5,4,50,49.2
2-Oct-22,16,young,A3,5,5,40,36.7
3-Oct-22,17,young,A3,5,5,40,36.7
4-Oct-22,18,young,A3,5,5,40,36.7
5-Oct-22,19,young,A3,5,5,40,36.7
6-Oct-22,20,young,A3,5,5,40,36.7
7-Oct-22,21,young,A3,5,5,40,36.7
8-Oct-22,22,young,A3,5,5,30,24.2
9-Oct-22,23,young,A3,5,5,20,11.7
10-Oct-22,24,young,A3,5,5,20,11.7
11-Oct-22,25,young,A3,5,5,20,11.7
12-Oct-22,26,young,A3,5,5,20,11.7
13-Oct-22,27,young,A3,5,5,20,11.7
14-Oct-22,28,young,A3,5,5,20,11.7
17-Sep-22,1,young,B1,10,1,66.66666667,100
18-Sep-22,2,young,B1,10,1,66.66666667,100
19-Sep-22,3,young,B1,10,1,66.66666667,100
20-Sep-22,4,young,B1,10,1,66.66666667,100
21-Sep-22,5,young,B1,10,1,66.66666667,100
22-Sep-22,6,young,B1,10,1,66.66666667,100
23-Sep-22,7,young,B1,10,1,60,90
24-Sep-22,8,young,B1,10,1,60,90
25-Sep-22,9,young,B1,10,NA,50,90
26-Sep-22,10,young,B1,10,NA,50,90
27-Sep-22,11,young,B1,10,NA,50,90
